label,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
1,26_A_B_H,0,95,112,0.7013225744843393,0.645089351786598,0.7861440030557676,0.4053929236678185,0.6039793164980791,0.6723560510828891,0.0057717322334733,0.0
0,22_A_B_OC,0,0,101,0.7268756287393446,0.6749919488407962,0.8064277015936884,0.4525806092582858,0.2924789864297165,0.904796569937692,0.0054957799963701,0.0
0,14_A_B_OC,87,0,95,0.7090909090909089,0.6437799031235758,0.7797354348437937,0.4240898784990637,0.6174010725579818,0.6626830422507536,0.0049745580127809,0.9157894736842104
0,18_A_B_OC,75,0,90,0.6927807486631016,0.6323600404224494,0.7823529411764704,0.3863628180675933,0.6441990887330843,0.6238688027921696,0.0058260350017881,0.8333333333333334
0,20_A_B_OC,0,0,85,0.7277445737653351,0.674007871134146,0.8021390374331548,0.4570966987728393,0.4340114524664055,0.833021447992104,0.0050109308500774,0.0
0,28_A_B_OC,0,0,94,0.7262771646376153,0.6745531342850847,0.8062919558539078,0.4518140326769351,0.4186016632197565,0.8367517370761454,0.0049223296767233,0.0
0,13_nd_A_B_OC,7,0,114,0.7228633080026272,0.6694639476153098,0.7924992963692655,0.4449876983682271,0.6004322897404928,0.682686455392716,0.0057411131093026,0.0614035087719298
1,4_nd_A_B_H,0,96,97,0.7094933568553947,0.6572934201055541,0.7776338276641487,0.4181347421355608,0.6020389968971012,0.6899062816277766,0.0038645897731314,0.0
0,12_A_B_OC,47,0,94,0.7178859938559563,0.660963064576946,0.798299010126294,0.4371084937376392,0.655912033674468,0.6056616081934266,0.0064655952846793,0.5
1,10_nd_A_B_H,0,9,100,0.7220855614973266,0.6672578777149581,0.7987700534759355,0.4474651944874536,0.6170127183594053,0.655533994140798,0.0050442686466021,0.0
0,40_A_B_OC,15,0,110,0.7296791443850271,0.6798799831003808,0.7983714146815754,0.4589297270546442,0.6503582320674968,0.6240258063827868,0.004060601775465,0.1363636363636363
1,2_nd_A_B_H,0,0,108,0.7289314715785307,0.6754299204464611,0.7938948306595365,0.4596126502600493,0.5867221427236748,0.7059497410393667,0.00465535396673,0.0
1,12_nd_A_B_H,0,116,116,0.7230545823345015,0.671722735496566,0.7905679513184583,0.4427995953431902,0.5458693001732358,0.7508157650371379,0.0050661207830126,0.0
1,36_A_B_H,0,0,95,0.7269349845201241,0.670098973467853,0.8047846889952155,0.4553938432995779,0.2974585498323046,0.8806088179298355,0.004516499127991,0.0
1,13_A_B_H,0,109,112,0.7138321237585944,0.65909914560644,0.7916587089381208,0.4273591881023954,0.6088085718682577,0.6841953704682273,0.0050225257198755,0.0
1,22_nd_A_B_H,0,55,98,0.7057732183782605,0.6487675395762893,0.7761377278183998,0.4128125918984358,0.6660517357633188,0.5898662042617951,0.0042869956346235,0.0
0,6_nd_A_B_OC,91,0,91,0.6950990186284304,0.6292069853636968,0.7685843568196508,0.3946948974676603,0.3876068756087328,0.8547769229410395,0.0064470516027609,1.0
1,11_A_B_H,0,0,108,0.7242275698158055,0.6702454867164909,0.8007526242820359,0.4483109017270155,0.2567145092070409,0.915673826555682,0.0058157596906703,0.0
0,15_nd_A_B_OC,0,0,122,0.726220741649864,0.6745626559451168,0.8075742964846149,0.4519669277601342,0.3024785126745739,0.901501466739063,0.0051156948429469,0.0
1,50_A_B_H,0,0,92,0.735933503836317,0.6832209269385037,0.810799813996745,0.4740067631460217,0.0806531203341231,0.9808246832962612,0.0042576752541603,0.0
1,7_nd_A_B_H,0,0,99,0.7319181115972564,0.677905334335333,0.8074056068708473,0.4642744732528961,0.5161399226918988,0.770513590184635,0.0049182899983404,0.0
1,9_nh_A_B_H,0,0,100,0.7459358288770056,0.6952078379991652,0.8240641711229943,0.4935305658304144,0.3275342139157011,0.8881491763864936,0.0057228148105782,0.0
1,17_A_B_H,0,0,95,0.7312693498452014,0.6768043357836097,0.8020546017450036,0.4632308507120489,0.3737928707211633,0.8620025788255377,0.0048872882675127,0.0
1,3_nd_A_B_H,0,28,118,0.7201803679869486,0.6679019339212209,0.7965195323121546,0.4411470909810366,0.6282485601142048,0.6427904755014776,0.0067563354793909,0.0
0,16_nd_A_B_OC,1,0,108,0.7295008912655974,0.6767624580294638,0.811076450782333,0.4592060513162821,0.5514906474982492,0.7404549100678806,0.0055069470075364,0.0092592592592592
1,24_nd_A_B_H,0,98,105,0.7073083778966135,0.6528467840041446,0.7863254392666154,0.413445979024645,0.623476088902041,0.6568120501370197,0.0058213740228524,0.0
1,6_nd_A_B_H,0,0,103,0.7297648097191218,0.6741576852777343,0.8113026322620835,0.4614204088471839,0.4234061527192017,0.8363273460617332,0.0062216537639111,0.0
1,20_nd_A_B_H,0,5,113,0.7134068430268324,0.6553240610680823,0.7856230183143245,0.4278332553522291,0.61628828532488,0.6608629070454809,0.0064130204957766,0.0
0,25_A_B_OC,13,0,87,0.7206343352387976,0.6664153869313925,0.7914745835638329,0.4441202844838268,0.6398499085669884,0.6336429085816705,0.0046386370900215,0.1494252873563218
1,39_A_B_H,0,0,95,0.7355192794821279,0.6846729555337764,0.8011820996341121,0.4714651588012076,0.186210049550241,0.9402829857806108,0.0041986524170488,0.0
1,1_nd_A_B_H,0,1,98,0.7282276546982429,0.6747824373076451,0.7965458910837061,0.4557305405876036,0.5789230661051704,0.713038100142696,0.0048250762899569,0.0
1,34_A_B_H,0,0,103,0.7248066040184834,0.6692099372857411,0.797206790924666,0.4517560419110966,0.1533275821410402,0.9517548796974548,0.0046048754275339,0.0
0,14_nd_A_B_OC,76,0,89,0.7035089827555129,0.6425032089150595,0.7910532956798649,0.4093602442955916,0.5712001407669163,0.6813249305345527,0.0058328347644028,0.8539325842696629
1,44_A_B_H,0,0,111,0.7318254082959965,0.677367372814123,0.8081611022787492,0.464124135893887,0.068129987849434,0.9842656115795352,0.005098099172851,0.0
1,21_nd_A_B_H,0,61,91,0.7156079214902742,0.6621257827629693,0.7860374919198451,0.4310039736102976,0.6652912291029773,0.5966854562818308,0.0048691565678039,0.0
0,15_A_B_OC,10,0,109,0.7292106166903795,0.6753483251576594,0.7977971839277829,0.4592791102294311,0.6153711623216664,0.6683667076387398,0.0056551241098773,0.091743119266055
0,32_A_B_OC,46,0,92,0.712305277842362,0.6544660618560016,0.7882469193210876,0.4258005810005622,0.6751477267600948,0.5753073591856656,0.0058632873547667,0.5
1,23_nd_A_B_H,0,100,100,0.7116844919786096,0.6574132827988435,0.7887700534759358,0.4230519186630632,0.4996579381347963,0.7767377835002419,0.0042838888181191,0.0
0,39_A_B_OC,97,0,97,0.6968134957825678,0.6316730915442843,0.7808589227631071,0.3967799352675525,0.5436097928317263,0.7410516832822188,0.0059088878573747,1.0
